policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_6min,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P2,48,P2_K48,1,2,2.377008179453915,2.1774475261418047,3.1660984129268854,3.634992698189428,0.9850467289719627,0.9981308411214953,1.0,0.02858700820724232,0.14101540081533623,0.0,0,0.0,535,0,43
P2,48,P2_K48,2,2,2.4496231537146547,2.2397737416434893,3.3662054991403068,3.7394465989685557,0.984070796460177,0.9982300884955753,1.0,0.03084484527996317,0.11834592351248421,0.0,0,0.0,565,0,44
P2,48,P2_K48,3,2,2.403303224216918,2.239156327275964,3.169439829976114,3.642126530905898,0.991652754590985,0.998330550918197,0.998330550918197,0.03213131795426525,0.10857298785932434,0.0,0,0.0,599,0,45
P2,48,P2_K48,4,2,2.4943714009758953,2.2498579819428244,3.499318095512365,3.7394465989694936,0.9774696707105719,0.9965337954939342,0.9982668977469671,0.030656528974416675,0.1283240689015598,0.0,0,0.0,577,0,46
P2,48,P2_K48,5,2,2.390951246335924,2.2391563272751114,3.1660984129268854,3.6319353413099336,0.9890310786106032,0.9981718464351006,1.0,0.028811978717206227,0.1258596325886409,0.0,0,0.0,547,0,47
P2,48,P2_K48,6,2,2.3720281809465256,2.229837179720988,3.166098412927738,3.499318095512365,0.9963302752293578,0.998165137614679,1.0,0.02941173872982697,0.11179452468499214,0.0,0,0.0,545,0,48
P2,48,P2_K48,7,2,2.4234477354068753,2.230895105812465,3.3662054991403068,3.642126530905898,0.9895470383275261,1.0,1.0,0.03177519043711626,0.12221302136005714,0.0,0,0.0,574,0,49
P2,48,P2_K48,8,2,2.3985181727470684,2.172153970226489,3.166098412927738,3.642126530906399,0.9887218045112782,0.9962406015037594,0.9962406015037594,0.02878087663808947,0.11195901137082542,0.0,0,0.0,532,0,50
P2,48,P2_K48,9,2,2.3973437087076785,2.229837179720988,3.0128603566487864,3.49789132896899,0.9816176470588235,0.9944852941176471,0.9981617647058824,0.029486528004777707,0.11988138874467716,0.0,0,0.0,544,0,51
P2,48,P2_K48,10,2,2.3519431989672643,2.1946635068059095,3.096884505109577,3.499318095512365,0.9967105263157895,0.9983552631578947,1.0,0.03264462749529363,0.14948878245053288,0.0,0,0.0,608,0,52
P2,48,P2_K48,11,2,2.523889231013554,2.239773741643063,3.3841859039793576,3.8706046573990425,0.979557069846678,0.9965928449744463,0.9982964224872232,0.03207759075649366,0.12744065376900907,0.0,0,0.0,587,0,53
P2,48,P2_K48,12,2,2.3968537794866123,2.230895105811612,3.2585735103803017,3.6777366066266484,0.9888682745825603,1.0,1.0,0.02890888302651548,0.1106124521506355,0.0,0,0.0,539,0,54
P2,48,P2_K48,13,2,2.4120000085620927,2.1750894008137323,3.258573510380387,3.6761885547282653,0.9895470383275261,0.9965156794425087,0.9965156794425087,0.030646240537323368,0.12586124503327628,0.0,0,0.0,574,0,55
P2,48,P2_K48,14,2,2.362395898975515,2.2071582481873975,3.1597572282893225,3.462325101327224,0.9912126537785588,0.9947275922671354,0.9982425307557118,0.03095161622687183,0.11859017515941984,0.0,0,0.0,569,0,56
P2,48,P2_K48,15,2,2.4471348788750413,2.2391563272751114,3.240078490889778,3.7394465989682146,0.9808027923211169,0.9965095986038395,1.0,0.03001844449927299,0.127535691651289,0.0,0,0.0,573,0,57
P2,48,P2_K48,16,2,2.428206229333046,2.230895105811612,3.197959100611768,3.7368044687125774,0.9838998211091234,0.9964221824686941,0.9964221824686941,0.030010995586660955,0.12590254233270043,0.0,0,0.0,559,0,58
P2,48,P2_K48,17,2,2.429288251133809,2.2397737416434893,3.3419140492766126,3.6592842878019867,0.9896193771626297,1.0,1.0,0.030728658727770735,0.12071080559743357,0.0,0,0.0,578,0,59
P2,48,P2_K48,18,2,2.437554568608158,2.2298371797214145,3.366205499140733,3.7394465989683425,0.9821138211382113,0.9983739837398374,0.9983739837398374,0.03353635227697535,0.13265531980666947,0.0,0,0.0,615,0,60
P2,48,P2_K48,19,2,2.4000166984104614,2.2298371797212013,3.166098412926992,3.642126530905898,0.9862542955326461,0.9982817869415808,0.9982817869415808,0.0305303709228167,0.12681903867243643,0.0,0,0.0,582,0,61
P2,48,P2_K48,20,2,2.412742834557137,2.2298371797214145,3.293918685253575,3.6421265309067508,0.988013698630137,1.0,1.0,0.03100265905834886,0.14388456619984075,0.0,0,0.0,584,0,62
P2,48,P2_K48,21,2,2.404041638071302,2.2071582481874907,3.166098412927738,3.6421265309067508,0.9874551971326165,0.996415770609319,1.0,0.03015970254594626,0.12475213637247608,0.0,0,0.0,558,0,63
P2,48,P2_K48,22,2,2.397743848059499,2.2391563272756443,3.1660984129269814,3.499318095512365,0.9947552447552448,1.0,1.0,0.03144053167170307,0.11885092394736213,0.0,0,0.0,572,0,64
P2,48,P2_K48,23,2,2.453812911989698,2.2303661427665133,3.2636228210764435,3.8067723114243077,0.9810344827586207,0.9948275862068966,0.996551724137931,0.03227132979966245,0.14927881847064312,0.0,0,0.0,580,0,65
P2,48,P2_K48,24,2,2.4153884323537205,2.2391563272751114,3.1660984129268854,3.642126530906367,0.9831365935919055,0.9983136593591906,1.0,0.03197934801385258,0.14002680552833663,0.0,0,0.0,593,0,66
P2,48,P2_K48,25,2,2.4056129080256365,2.2391563272751114,3.1660984129268854,3.642126530905898,0.9899328859060402,0.9966442953020134,1.0,0.03228871080742498,0.12906648568499804,0.0,0,0.0,596,0,67
P2,48,P2_K48,26,2,2.522842981350623,2.2397737416431163,3.4917086739471874,3.9046829887879553,0.9775474956822107,0.9930915371329879,1.0,0.031389628897228926,0.11573042468857249,0.0,0,0.0,579,0,68
P2,48,P2_K48,27,2,2.4377975919734998,2.229837179720562,3.3662054991403707,3.7586323274507056,0.9855855855855856,1.0,1.0,0.029010408729684217,0.12443232618027376,0.0,0,0.0,555,0,69
P2,48,P2_K48,28,2,2.4580287339336144,2.2298371797214145,3.358738206900699,3.739446598969451,0.9857651245551602,0.994661921708185,0.998220640569395,0.029989214841154337,0.11622207451495943,0.0,0,0.0,562,0,70
P2,48,P2_K48,29,2,2.4215391946936897,2.229837179720988,3.166098412927738,3.6421265309066655,0.9911190053285968,0.9982238010657194,0.9982238010657194,0.029563765826264923,0.11961925806987675,0.0,0,0.0,563,0,71
